scorer,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,389.8163146972656,286.09356689453125,0.999915361404419,428.24212646484375,264.36712646484375,0.9995834231376648,404.6533203125,245.49835205078125,0.9992876648902893,505.9359130859375,201.69204711914062,0.9996780157089233
1,389.8163146972656,303.0840759277344,0.9999066591262817,428.24212646484375,279.305419921875,0.9998468160629272,404.6533203125,265.2371520996094,0.9996451139450073,505.9359130859375,201.8546905517578,0.9996472597122192
2,389.8163146972656,318.97113037109375,0.9998698234558105,428.24212646484375,296.22979736328125,0.9997552037239075,404.6533203125,282.9259033203125,0.9996401071548462,505.9359130859375,203.52708435058594,0.999426007270813
3,383.7662353515625,338.4074401855469,0.9999836683273315,426.0972900390625,313.0570068359375,0.999692440032959,401.8286437988281,297.56463623046875,0.9992477893829346,499.5997009277344,205.25718688964844,0.9996422529220581
4,381.3361511230469,352.3218688964844,0.9999837875366211,422.14007568359375,328.04522705078125,0.9998301267623901,397.7598571777344,316.79315185546875,0.9970237612724304,494.4254150390625,208.32464599609375,0.9997759461402893
5,376.4812927246094,358.6435241699219,0.9999731779098511,417.6861877441406,345.414794921875,0.9998669624328613,394.1111755371094,329.57061767578125,0.9986536502838135,483.2021789550781,213.27664184570312,0.999861478805542
6,366.9593811035156,358.6435241699219,0.9997742772102356,417.11932373046875,356.7655334472656,0.9998120665550232,391.62933349609375,337.9674072265625,0.9995319843292236,478.3133544921875,222.9608917236328,0.999764621257782
7,363.0606384277344,358.6435241699219,0.9961808919906616,412.138916015625,364.9759216308594,0.9973253011703491,390.2391662597656,338.6536560058594,0.9999275207519531,478.3133544921875,233.17359924316406,0.9998852014541626
8,362.099609375,358.6435241699219,0.9998862743377686,410.3492736816406,365.563720703125,0.9979603290557861,389.8261413574219,338.9596252441406,0.999871015548706,478.3133544921875,243.3992919921875,0.9999343156814575
9,359.9471130371094,358.6435241699219,0.9998828172683716,408.8338928222656,366.3356628417969,0.9993694424629211,389.7652282714844,340.5962219238281,0.9998288154602051,481.8617858886719,246.07188415527344,0.9998675584793091
10,355.4112548828125,361.8584899902344,0.9997400641441345,405.8021240234375,369.11663818359375,0.9998726844787598,387.5538635253906,343.3375549316406,0.9999364614486694,481.8617858886719,247.59690856933594,0.9999388456344604
11,346.3313293457031,369.0460510253906,0.9999808073043823,399.2538757324219,375.7249755859375,0.9989677667617798,382.23809814453125,346.8605651855469,0.9991258978843689,481.8617858886719,249.1970977783203,0.9998780488967896
12,341.6936950683594,371.05224609375,0.9999866485595703,394.4792175292969,385.0436706542969,0.9997934699058533,379.7715759277344,353.171630859375,0.9995618462562561,481.69256591796875,256.71234130859375,0.9997510313987732
13,341.6622619628906,372.429931640625,0.999977707862854,393.44757080078125,389.6062316894531,0.99964439868927,377.19561767578125,357.68798828125,0.9997826218605042,478.6572265625,264.39154052734375,0.9998239874839783
14,341.0486145019531,372.54815673828125,0.9999011754989624,385.7837829589844,393.6438293457031,0.9988712668418884,373.9886169433594,360.59716796875,0.9998974800109863,475.5647888183594,268.5041198730469,0.9997363686561584
15,337.7178649902344,372.639892578125,0.9998437166213989,382.0535583496094,394.746337890625,0.9989948868751526,371.92645263671875,362.05279541015625,0.9998797178268433,471.4305419921875,270.31597900390625,0.9999061822891235
16,328.6260070800781,379.57391357421875,0.9999328851699829,381.4728088378906,395.52972412109375,0.9978329539299011,369.0027770996094,363.7748107910156,0.9996581077575684,470.5300598144531,273.1868591308594,0.9999037981033325
17,322.5054016113281,394.6982421875,0.9999704360961914,376.3662414550781,401.19500732421875,0.9998117089271545,357.9931335449219,374.38787841796875,0.9998435974121094,469.2256774902344,276.6724548339844,0.9999306201934814
18,315.6424255371094,398.9773254394531,0.9999710321426392,371.20709228515625,409.2103576660156,0.9996281862258911,353.5912170410156,382.09503173828125,0.9996356964111328,463.51141357421875,286.4182434082031,0.99967360496521
19,314.02777099609375,405.2020263671875,0.9999810457229614,367.58160400390625,411.700927734375,0.9992807507514954,350.7069091796875,383.5456848144531,0.9991834759712219,462.1531677246094,299.9093933105469,0.9988110065460205
20,309.3367919921875,413.27801513671875,0.9999792575836182,363.5199890136719,411.70220947265625,0.998859167098999,343.874267578125,385.07171630859375,0.9991140961647034,462.1531677246094,314.0283203125,0.9995357990264893
21,304.2752990722656,417.2746276855469,0.9999785423278809,359.3376770019531,414.55084228515625,0.99986732006073,339.786376953125,389.7833557128906,0.9998346567153931,461.0633239746094,325.1526184082031,0.9999262094497681
22,294.7265319824219,428.6505126953125,0.9999799728393555,344.7915954589844,421.46136474609375,0.9989776611328125,326.310302734375,397.91241455078125,0.9995253086090088,461.0504150390625,328.96990966796875,0.9997720122337341
23,281.220458984375,438.6624450683594,0.9999703168869019,330.0813293457031,431.84674072265625,0.9983029365539551,311.58734130859375,407.0947570800781,0.9996954202651978,455.5834655761719,334.8457946777344,0.9995402097702026
24,264.1963806152344,445.1949462890625,0.9999521970748901,318.5965881347656,443.4208984375,0.9982020854949951,299.8902282714844,413.6678466796875,0.9997017979621887,443.8758544921875,341.7557373046875,0.9999454021453857
25,253.32293701171875,449.3125,0.9999911785125732,306.75897216796875,448.3481750488281,0.9993811845779419,287.5602722167969,420.1435852050781,0.9999010562896729,426.64801025390625,348.9691467285156,0.9995481371879578
26,246.70632934570312,449.3125,0.999987006187439,292.1228332519531,451.1241760253906,0.999797523021698,277.0804748535156,426.7922058105469,0.99978107213974,406.044189453125,363.5200500488281,0.9998880624771118
27,237.93504333496094,449.3125,0.9999876022338867,283.8802490234375,451.1241760253906,0.9990360736846924,268.74700927734375,426.7922058105469,0.9993810653686523,393.6694641113281,375.0718994140625,0.9999274015426636
28,230.96563720703125,440.89874267578125,0.9999638795852661,275.22308349609375,451.1241760253906,0.9996498823165894,262.9599609375,426.7922058105469,0.9995799660682678,389.0827941894531,386.3727722167969,0.9999634027481079
29,228.7932891845703,429.59912109375,0.9999328851699829,267.63079833984375,448.2218017578125,0.9996154308319092,261.8666687011719,417.2733459472656,0.9997840523719788,389.0827941894531,395.8756408691406,0.9999173879623413
30,227.41957092285156,416.3401184082031,0.9999786615371704,259.65045166015625,445.0647277832031,0.9995208978652954,260.5599060058594,414.2591552734375,0.9996731281280518,388.6689758300781,403.73980712890625,0.9999256134033203
31,226.61080932617188,398.2815856933594,0.999881386756897,248.3197021484375,431.9294738769531,0.99888676404953,255.3510284423828,409.8938903808594,0.9996848106384277,387.2990417480469,406.032470703125,0.9999278783798218
32,224.42440795898438,390.604736328125,0.9999747276306152,245.1221923828125,428.9876403808594,0.9997537732124329,254.6737060546875,402.12982177734375,0.9996345043182373,385.6894836425781,408.99713134765625,0.9997393488883972
33,214.799072265625,379.61578369140625,0.9999562501907349,236.0789337158203,422.5290832519531,0.9997358918190002,252.53561401367188,393.7240905761719,0.9997939467430115,382.6689453125,411.731201171875,0.9995906949043274
34,207.9987030029297,370.0050048828125,0.9999836683273315,224.71139526367188,413.5968322753906,0.9992208480834961,242.38204956054688,388.54644775390625,0.9999328851699829,374.2300720214844,415.1338806152344,0.9998639822006226
35,200.2631378173828,361.070556640625,0.9999182224273682,212.7895050048828,403.0706787109375,0.999911904335022,232.0981903076172,381.4306945800781,0.9998537302017212,366.1884765625,415.56805419921875,0.9997449517250061
36,186.85450744628906,352.63458251953125,0.9999697208404541,203.6862335205078,395.04864501953125,0.999030351638794,224.97744750976562,373.1041259765625,0.999924898147583,352.81939697265625,416.2193908691406,0.9993900060653687
