scorer,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
21,848.7277221679688,648.52392578125,0.9998052716255188,819.9364013671875,694.2855224609375,0.999997615814209,859.5985717773438,699.861083984375,0.999715268611908,831.2542114257812,758.6766357421875,0.9999873638153076,813.3507690429688,824.2147216796875,0.9998407363891602
22,847.4140625,648.5464477539062,0.9999409914016724,820.0565185546875,694.2855224609375,0.9999986886978149,859.4532470703125,700.3546142578125,0.9998719692230225,830.603271484375,757.6842651367188,0.9999346733093262,813.2113037109375,824.2147216796875,0.9999704360961914
23,847.4140625,648.5464477539062,0.9999228715896606,819.9364013671875,694.2855224609375,0.9999969005584717,859.4532470703125,700.3546142578125,0.9997771382331848,830.603271484375,757.6842651367188,0.9999921321868896,812.6655883789062,823.0270385742188,0.9999463558197021
24,847.4140625,648.52392578125,0.9999202489852905,819.9334106445312,694.1294555664062,0.9999990463256836,859.3233642578125,700.3546142578125,0.9998626708984375,830.018798828125,757.6842651367188,0.9999849796295166,812.4916381835938,823.0270385742188,0.9999370574951172
25,847.4354858398438,648.495849609375,0.9999362230300903,819.9334106445312,693.41748046875,0.9999982118606567,859.3233642578125,699.7979736328125,0.9998452663421631,830.603271484375,757.6842651367188,0.9999905824661255,812.4916381835938,823.0270385742188,0.9998856782913208
26,848.4037475585938,648.495849609375,0.9999624490737915,820.0565185546875,692.9872436523438,0.9999991655349731,859.3233642578125,699.7979736328125,0.9998804330825806,830.1866455078125,757.6842651367188,0.9999871253967285,812.4916381835938,822.9314575195312,0.9999454021453857
27,848.7070922851562,648.495849609375,0.999953031539917,821.1836547851562,692.78955078125,0.9999983310699463,859.60498046875,699.0243530273438,0.9998266100883484,830.6801147460938,757.0916137695312,0.9999872446060181,812.5615844726562,822.9314575195312,0.9999761581420898
28,848.7070922851562,648.6181640625,0.9999701976776123,821.1836547851562,692.6204833984375,0.9999991655349731,860.7156372070312,698.9336547851562,0.9998476505279541,830.614990234375,757.0916137695312,0.9999916553497314,812.7780151367188,823.1097412109375,0.9999511241912842
29,848.7070922851562,648.6181640625,0.9999806880950928,821.1836547851562,692.4097900390625,0.9999988079071045,860.7156372070312,699.0243530273438,0.9998767375946045,830.614990234375,756.7076416015625,0.9999960660934448,812.8201904296875,822.1160888671875,0.9999605417251587
30,849.6334228515625,648.6181640625,0.999951958656311,820.7537841796875,692.4097900390625,0.9999990463256836,860.7156372070312,699.788330078125,0.9998995065689087,830.423095703125,757.0916137695312,0.9999871253967285,812.8201904296875,822.1160888671875,0.9999799728393555
31,848.7070922851562,648.6181640625,0.9999858140945435,820.1923828125,692.4097900390625,0.999998927116394,860.1995239257812,699.788330078125,0.9999079704284668,830.423095703125,757.0916137695312,0.999995231628418,812.5615844726562,822.6340942382812,0.9999871253967285
32,848.9716186523438,648.6181640625,0.9999905824661255,820.1923828125,692.7619018554688,0.999998927116394,860.1995239257812,699.788330078125,0.9997586607933044,829.9891357421875,757.8815307617188,0.9999786615371704,812.031494140625,823.1097412109375,0.9999785423278809
33,848.9755249023438,649.2920532226562,0.9999053478240967,820.1923828125,694.2112426757812,0.999996542930603,859.7066650390625,699.788330078125,0.9998351335525513,829.914794921875,757.8815307617188,0.9999948740005493,811.3057861328125,824.2662353515625,0.999955415725708
34,848.9755249023438,649.6650390625,0.999972939491272,820.8034057617188,694.2112426757812,0.9999974966049194,859.7066650390625,699.788330078125,0.9997196793556213,829.914794921875,757.8897705078125,0.9999690055847168,811.3057861328125,824.619384765625,0.9997527003288269
35,848.9755249023438,649.6671752929688,0.999972939491272,820.8040161132812,694.2112426757812,0.9999974966049194,859.7066650390625,699.697509765625,0.9997201561927795,829.9891357421875,757.8897705078125,0.9999687671661377,811.498291015625,824.619384765625,0.9997562766075134
36,849.9210815429688,650.1732788085938,0.9999500513076782,820.8040161132812,694.2112426757812,0.9999991655349731,860.0403442382812,699.697509765625,0.9998528957366943,830.55712890625,758.9830322265625,0.9999817609786987,811.498291015625,824.619384765625,0.9999687671661377
37,850.0928955078125,650.4340209960938,0.9999774694442749,820.8040161132812,694.2112426757812,0.9999984502792358,860.1527709960938,700.2499389648438,0.9998773336410522,830.55712890625,758.9830322265625,0.9999802112579346,811.498291015625,824.6209716796875,0.9999597072601318
38,850.0928955078125,650.4340209960938,0.9999865293502808,821.2922973632812,693.4089965820312,0.9999978542327881,860.1527709960938,701.0110473632812,0.9997316002845764,830.55712890625,759.5270385742188,0.9999475479125977,812.2549438476562,824.9156494140625,0.9999610185623169
39,849.9210815429688,650.3008422851562,0.9999345541000366,820.6093139648438,693.4089965820312,0.9999982118606567,860.0403442382812,700.2499389648438,0.9999639987945557,828.7406616210938,759.5270385742188,0.9999423027038574,812.3565063476562,824.3804931640625,0.9999145269393921
40,849.435302734375,650.3008422851562,0.9999855756759644,820.6093139648438,693.341796875,0.9999992847442627,860.0403442382812,700.9795532226562,0.999880313873291,828.7406616210938,758.313720703125,0.9999669790267944,812.3565063476562,824.3804931640625,0.9999567270278931
41,848.9309692382812,650.3008422851562,0.9999750852584839,820.62109375,693.1757202148438,0.9999994039535522,860.5878295898438,700.9795532226562,0.9998579025268555,828.7406616210938,757.0105590820312,0.9999836683273315,812.2825927734375,824.1862182617188,0.9999743700027466
42,848.8328857421875,650.0332641601562,0.9999357461929321,820.732421875,692.4915161132812,0.9999990463256836,860.3464965820312,700.619384765625,0.9998800754547119,829.5311279296875,757.0105590820312,0.9999896287918091,812.2825927734375,822.9129638671875,0.9999547004699707
43,848.8328857421875,649.9318237304688,0.9998759031295776,820.732421875,693.0215454101562,0.9999988079071045,860.8187255859375,699.9291381835938,0.99972003698349,829.5311279296875,757.0105590820312,0.9999947547912598,811.9461669921875,822.9129638671875,0.9999362230300903
44,848.9309692382812,649.9318237304688,0.99943608045578,820.7683715820312,692.4915161132812,0.999998927116394,860.8187255859375,699.9291381835938,0.9998065829277039,830.1016235351562,756.74609375,0.9999880790710449,811.9461669921875,822.9129638671875,0.9999881982803345
45,849.5174560546875,649.183349609375,0.9999816417694092,821.1393432617188,692.9891357421875,0.9999983310699463,860.3464965820312,699.9291381835938,0.9997212290763855,829.986083984375,756.74609375,0.9999868869781494,811.9461669921875,823.611083984375,0.9999661445617676
46,849.5941772460938,649.183349609375,0.9999680519104004,821.1393432617188,692.9891357421875,0.9999992847442627,860.2679443359375,699.9291381835938,0.9999245405197144,829.986083984375,757.4942016601562,0.9999934434890747,811.9461669921875,823.6717529296875,0.9999556541442871
47,849.9999389648438,649.183349609375,0.9999520778656006,821.1941528320312,693.0215454101562,0.9999982118606567,860.002197265625,700.388916015625,0.9998892545700073,830.0029296875,757.5827026367188,0.9999905824661255,811.9461669921875,824.3324584960938,0.9998719692230225
48,850.1685791015625,650.3510131835938,0.9998875856399536,821.1941528320312,693.19189453125,0.9999991655349731,859.8789672851562,700.388916015625,0.9998502731323242,830.3743286132812,757.4942016601562,0.9999853372573853,811.0010375976562,824.7455444335938,0.9999376535415649
49,850.39208984375,650.7186889648438,0.9999239444732666,820.8602294921875,693.3468627929688,0.9999978542327881,859.5625610351562,700.388916015625,0.999748170375824,830.3743286132812,757.4942016601562,0.9999935626983643,810.7136840820312,824.8043212890625,0.9999432563781738
50,850.39208984375,650.7705688476562,0.9997867941856384,820.8550415039062,693.3489379882812,0.9999988079071045,860.002197265625,700.388916015625,0.9997908473014832,830.3743286132812,756.8538818359375,0.9999935626983643,810.7136840820312,824.8043212890625,0.999832034111023
51,850.32421875,650.7713623046875,0.9997884631156921,820.8602294921875,693.3489379882812,0.9999988079071045,860.002197265625,700.5889892578125,0.9997913241386414,830.3743286132812,756.8477172851562,0.9999935626983643,810.7136840820312,824.454345703125,0.9998302459716797
52,850.4295043945312,651.813720703125,0.9995330572128296,820.8550415039062,693.3489379882812,0.9999990463256836,859.4374389648438,701.4736938476562,0.9999730587005615,829.5518188476562,756.7764282226562,0.9999792575836182,811.9365844726562,824.454345703125,0.9999716281890869
53,850.4295043945312,651.813720703125,0.9989458918571472,820.8602294921875,693.3468627929688,0.9999986886978149,860.1336669921875,701.743896484375,0.9999028444290161,829.5518188476562,756.2202758789062,0.9996821880340576,811.9365844726562,824.20849609375,0.9998695850372314
54,850.4295043945312,651.813720703125,0.9992706179618835,820.8619384765625,693.0638427734375,0.9999991655349731,860.1525268554688,701.743896484375,0.999544084072113,829.5518188476562,756.21826171875,0.9999878406524658,811.9365844726562,823.9780883789062,0.9999572038650513
55,850.6251220703125,650.5579833984375,0.9999557733535767,821.2862548828125,692.7489624023438,0.9999990463256836,860.1525268554688,701.7415771484375,0.9999229907989502,830.798828125,756.21826171875,0.9999927282333374,811.4467163085938,823.1083984375,0.9999759197235107
56,851.264404296875,650.4987182617188,0.9999558925628662,821.2904052734375,692.7489624023438,0.9999990463256836,860.1525268554688,701.4736938476562,0.9999227523803711,830.798828125,756.21826171875,0.9999927282333374,811.4413452148438,823.1083984375,0.9999756813049316
57,851.264404296875,649.4173583984375,0.9999756813049316,821.2904052734375,692.7473754882812,0.9999982118606567,860.1525268554688,701.3016357421875,0.9998469352722168,830.798828125,756.2202758789062,0.9999864101409912,811.2600708007812,823.1083984375,0.9999853372573853
