,Focinho_OrelhaE,Focinho_OrelhaE,Focinho_OrelhaE,OrelhaE_OrelhaD,OrelhaE_OrelhaD,OrelhaE_OrelhaD,Centro_Rabo,Centro_Rabo,Centro_Rabo,OrelhaD_Centro,OrelhaD_Centro,OrelhaD_Centro,Focinho_OrelhaD,Focinho_OrelhaD,Focinho_OrelhaD,OrelhaE_Centro,OrelhaE_Centro,OrelhaE_Centro
,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood
0,40.59896992126477,144.4598089010299,0.9999850988388062,36.04241942139745,48.34756563234501,0.9999945163726807,66.36761832860795,217.19271294351873,0.9989533424377441,65.2634726113042,178.24646834816906,0.9999545812606812,51.339276137004575,100.1888201762128,0.9999945163726807,50.405771035233826,144.97772559382182,0.9999545812606812
1,40.117562219825324,143.96714061166094,0.9999377727508545,39.08490198111533,43.55311498159059,0.9999979734420776,65.52498033997122,213.02823492064584,0.9998666048049927,66.92709897750208,176.77776621678552,0.999981164932251,50.69702690190432,94.65689791925048,0.9999979734420776,49.2330728018639,141.43433912185608,0.999981164932251
2,40.117562219825324,143.96714061166094,0.999956488609314,40.455893063057204,41.73425448428282,0.9996867179870605,61.449931715747354,203.21869907490128,0.9995579123497009,67.1427469289979,176.27441725354336,0.9999589920043945,50.57984127957446,92.55236229915697,0.9996867179870605,48.31485405392535,139.63188973249956,0.9999589920043945
3,44.21997648335189,136.96883654164483,0.9999933242797852,42.50455872273563,32.81960549711358,0.999951958656311,62.641092735452304,189.70528902670358,0.9975212216377258,62.5883535825428,164.54469680321213,0.9985530972480774,53.321084220283026,86.34838578107286,0.999951958656311,46.72032092724164,121.77907609547198,0.9985530972480774
4,49.836705023857306,132.8722924162715,0.9999922513961792,41.84175478893016,21.64572742656809,0.9998782873153687,61.494922120137076,175.34682899772145,0.9992652535438538,60.5369445755462,150.94518268832607,0.9998927116394043,52.196436358538435,84.52079678201231,0.9998782873153687,46.976795915768854,107.37386191529497,0.9998927116394043
5,49.12980775755931,128.70441852941292,0.9999889135360718,41.33401463561619,19.52365059132619,0.9999703168869019,60.856279959531214,141.8858703641064,0.59593665599823,59.36580768106943,135.6405605938725,0.9999878406524658,52.8000580473625,81.02559667270602,0.9999703168869019,55.42950377188538,93.60697584249388,0.9999878406524658
6,49.538259918620575,125.65234415418143,0.9999918937683105,38.7412318747215,8.64852406418563,0.9999935626983643,65.49239579701964,123.5947239773732,0.9180737733840942,65.60888903541337,119.60080225648026,0.9999450445175171,47.03319478849726,78.43825337795926,0.9999935626983643,63.14733283641662,84.6453345688345,0.9999450445175171
7,51.478760370890704,122.13990832438498,0.9999940395355225,38.84472013423061,8.625307189899445,0.9999918937683105,69.19755656837923,112.3289594051887,0.9805797934532166,63.870195789532886,118.81675944242438,0.999882698059082,50.629052278179905,77.42910265132524,0.9999918937683105,62.25452237133401,82.9699503110909,0.999882698059082
8,51.270219740831514,121.76703602812685,0.9999973773956299,38.9094110647217,8.610857678158672,0.9999908208847046,72.25700949753615,109.61082453149582,0.9972643852233887,62.01463258094105,115.52706640335926,0.9999401569366455,50.73103756030195,76.92260639180155,0.9999908208847046,62.89315820736655,79.23580009859839,0.9999401569366455
9,51.29284649158131,121.75138642508037,0.9999977350234985,39.56461975580245,8.82195775321097,0.9999788999557495,72.08115117840705,105.34657350764196,0.9999641180038452,62.80629396409657,115.31009638663016,0.9999622106552124,51.13739144070973,76.30783358629706,0.9999788999557495,64.02712468188987,78.97371033307705,0.9999622106552124
10,51.303480881911916,121.65815086424175,0.9999995231628418,39.465631938942856,7.766251516546885,0.9999943971633911,69.51069627823377,105.6991166747356,0.9999585151672363,65.16334162118875,114.40387530393386,0.999990701675415,50.49263982866814,76.04475513091683,0.9999943971633911,65.81142860376103,79.33422139472607,0.999990701675415
11,52.84971907284365,120.68500237454185,0.9999983310699463,39.28316501518286,5.479806256370369,0.9999920129776001,68.66798240394138,105.89684805180192,0.9999105930328369,66.34818551186801,113.94049904049058,0.9999970197677612,50.675386166692014,76.14677743411245,0.9999920129776001,65.53331910957795,79.28842445723318,0.9999970197677612
12,52.974125629080305,120.6874458163692,0.9999992847442627,39.34823652529958,6.4838082400985595,0.9999722242355347,68.50148128375515,104.95968160006973,0.9999703168869019,66.02485794069162,115.0700418090907,0.9999790191650391,51.433273746292876,76.43799600849563,0.9999722242355347,65.20322607617277,80.18046256384164,0.9999790191650391
13,53.33691666832853,120.78847893813219,0.9999991655349731,39.746698729013765,7.972377764207035,0.99994957447052,68.5013867512448,104.95938567610949,0.999957799911499,64.79962559754959,115.57824770815665,0.9999922513961792,52.73033654361482,76.77772683934336,0.99994957447052,64.967208283717,79.90657907913773,0.9999922513961792
14,53.258714062975265,120.84030334431313,0.9999991655349731,39.02472663927567,8.110446603796913,0.9999501705169678,67.87810862204223,106.46654344027486,0.9999580383300781,65.47404810013956,114.59203681153286,0.9999922513961792,52.471729155149724,77.52849521502735,0.9999501705169678,66.03011130341461,80.0695327382575,0.9999922513961792
15,52.75234873773494,121.17280976706303,0.999998927116394,38.95759736969103,7.385443084517054,0.9999665021896362,67.63581194315185,106.52754544665335,0.9999861717224121,65.69635914193816,114.5029826932539,0.9999812841415405,51.406986026835625,77.26910073627323,0.9999665021896362,65.78062812857813,80.03116211894277,0.9999812841415405
16,53.826496245687466,122.29717422669685,0.9999991655349731,39.82407326650682,7.620523957068253,0.9999569654464722,68.59856806327137,104.96476763888997,0.9999579191207886,65.0569537853929,115.40737822691844,0.9999927282333374,51.897633125684656,78.08784708491353,0.9999569654464722,65.08060491640673,79.76887968625122,0.9999927282333374
17,53.854281919291175,121.81362507871916,0.9999992847442627,39.514254472423765,7.758601255586628,0.9998831748962402,69.22990689727395,104.91441895214543,0.9997394680976868,64.28954182200557,115.54973686573379,0.9999916553497314,52.21921234023206,78.10560961007933,0.9998831748962402,64.3593176734745,79.77489643444648,0.9999916553497314
18,54.19454868043585,122.44929270438028,0.9999988079071045,39.70984415100425,7.720152942446199,0.999919056892395,67.64396911819728,105.34744439164724,0.9995678067207336,65.85546236444333,115.0206308088497,0.9999877214431763,52.09015972472862,78.62730425506734,0.999919056892395,66.018451178876,79.97116345462317,0.9999877214431763
19,54.15477415320211,122.39908104927794,0.9999988079071045,40.2303303467466,8.584106380432813,0.9999173879623413,67.58328206591167,105.14182942794234,0.9995699524879456,65.46315532669165,115.64829525678634,0.9999878406524658,52.83746345096207,78.24678377055831,0.9999173879623413,66.01726521494336,80.01724083408176,0.9999878406524658
20,53.98041057814725,122.3688322189998,0.9999988079071045,40.32711998291527,8.566680995160949,0.9998347759246826,67.9418362779507,105.28630372736073,0.999950647354126,65.55442754444242,115.81859253505823,0.9999918937683105,52.75487506779047,77.98946382606924,0.9998347759246826,65.99699908609554,80.11769869878957,0.9999918937683105
